C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit.1,węgliki.1,martenzyt.1,ausferryt.1,austenit.1,Wolna miedź.1,kontrolka,Unnamed: 32,ferryt.1,ferryt.2,perlit.2,węgliki.2,martenzyt.2,ausferryt.2,austenit.2,Wolna miedź.2,Unnamed: 41
3.08,2.41,0.235,0.13,0.0,0.0,4.27,0.0,3,0.0,92.4,0.0,96,0,5,0,M,1.836075,2.796034,0.476161,0.0,2.705725,0.035245,113.34957,0,20,0,47,0,98,0,226,,2.2e-05,32.58074,5.008004,0.818803,0.00044,0.0,0.000289,0.177801,124.26358
3.89,2.22,0.045,0.02,0.0,0.15,4.39,0.25,21,2.5,21.3,0.0,2,0,6,0,FP,0.004045,0.00138,4.617962,18.69339,33.78626,0.0,98.58621,3,0,0,53,0,98,0,100,,2.2e-05,5.548458,94.95399,0.00138,7.625008,1.46832,2.671341,0.139147,100.83427
2.92,2.54,0.024,0.05,0.003,0.11,0.82,1.99,16,5.3,0.0,0.0,0,19,6,0,M,62.868982,0.00138,7.3212,0.0,0.000289,0.0,97.65769,8,0,1,1,0,3,0,100,,1.576539,5.108946,15.745196,0.00138,3.81766,0.0,98.07675,0.202513,87.89791
3.08,2.52,0.02,0.0,0.0,0.0,4.54,0.27,5,0.0,99.0,60.0,0,1,5,0,FP,23.334163,1.771649,0.00044,0.59457,0.000289,0.0,79.91019,0,0,0,0,10,3,0,100,,2.2e-05,2.2e-05,19.259683,2.589145,6.832041,100.0,98.07675,0.145083,83.64442
3.61,2.37,0.084,0.0,0.002,0.0,15.52,0.0,8,0.0,0.0,0.0,0,0,4,0,FP,94.95399,0.00138,5.733367,13.40974,5.312037,0.0,55.64417,0,9,0,7,19,6,0,100,,2.2e-05,0.449167,88.963077,0.00138,1.604719,100.0,98.07675,0.128665,132.9583
2.88,2.73,0.212,0.0,0.007,0.0,0.0,0.0,10,0.0,5.9,0.0,0,8,0,0,M,61.906633,12.227558,4.263017,0.0,0.000289,0.0,60.57955,8,0,5,44,97,0,0,108,,2.403892,2.2e-05,0.004045,0.00138,0.00044,0.0,4.111796,0.118378,129.43904
3.21,2.29,1.39,0.01,0.0,0.0,17.59,0.0,10,0.0,12.6,21.1,0,14,0,0,M,88.967256,13.030361,1.770464,94.4069,0.000289,0.0,116.99861,7,2,23,84,86,0,0,100,,0.650733,2.2e-05,80.721926,1.881364,4.033148,12.36071,0.000289,0.153077,136.11167
3.82,2.31,0.375,0.0,0.001,0.02,18.06,1.55,4,0.0,99.0,0.0,4,0,2,0,M,94.95399,6.892702,51.254964,100.0,0.000289,0.0,124.39336,0,0,0,3,3,0,0,100,,2.2e-05,3.645437,9.426888,8.456922,2.849333,0.0,98.07675,0.083454,80.02297
3.01,2.29,0.418,0.0,0.0,0.0,1.65,0.0,3,6.1,15.6,0.0,0,20,6,0,AN,3.188002,0.00138,95.98867,86.76048,4.921507,0.0,78.34333,0,28,12,99,16,5,0,100,,2.2e-05,2.2e-05,0.004045,7.114202,1.649863,0.0,4.985057,0.227093,102.82851
3.09,2.37,0.201,0.0,0.004,0.0,21.04,0.0,17,2.7,24.5,0.0,7,19,1,0,M,19.504822,9.795309,0.00044,100.0,4.925903,0.0,99.823,7,58,5,0,97,0,0,100,,2.2e-05,2.2e-05,21.743421,8.128719,7.173526,92.76668,98.07675,0.081559,99.16391
3.18,2.28,0.103,0.02,0.0,0.0,0.0,0.0,6,0.0,9.2,0.0,7,12,4,0,FP,88.014577,10.286521,0.00044,9.78675,0.000289,0.019913,81.58995,0,0,0,99,73,0,0,100,,2.2e-05,2.092605,23.284862,3.143964,5.874908,0.19335,0.000289,0.17257,82.15619
3.14,2.54,0.359,0.0,0.0,0.41,0.14,0.0,13,0.0,0.9,0.0,0,17,6,0,M,13.093357,12.767101,0.00044,100.0,0.000289,0.058785,35.60635,79,0,0,0,0,90,0,100,,62.46501,1.854098,23.643375,11.98428,5.101881,100.0,0.000289,0.086391,112.64904
3.91,2.26,0.402,0.0,0.121,0.0,1.39,1.31,10,0.0,9.9,1.1,0,71,3,0,M,22.577045,0.00138,0.379674,0.0,0.000289,0.0,97.86447,12,0,7,7,97,98,0,100,,62.46501,2.2e-05,0.004045,8.437918,24.351834,100.0,51.117689,0.209641,83.92677
3.85,2.24,0.151,0.0,0.0,0.0,21.04,0.0,17,0.0,5.0,0.0,38,13,3,0,AN,64.971675,0.034702,1.997269,100.0,64.306295,0.0,58.96472,5,6,0,4,0,55,0,100,,34.298183,2.2e-05,0.004045,0.00138,0.00044,6.73764,2.885782,0.204957,97.83692
3.49,2.37,0.02,0.0,0.0,0.36,1.95,0.0,16,0.0,20.9,0.0,0,0,0,0,AF,0.004045,12.531885,5.867394,8.74422,91.754822,0.124118,133.60246,8,0,0,0,97,6,0,100,,2.994508,3.391048,13.04766,10.398308,7.188425,21.44074,4.749042,0.0,88.19162
3.69,2.37,0.309,0.0,0.0,0.0,3.36,1.87,24,0.0,66.9,9.0,0,0,18,0,AF,24.292402,10.010268,1.185803,0.0,0.000289,0.00923,133.26676,11,26,0,99,11,98,0,105,,5.970368,2.2e-05,86.818871,0.00138,4.667465,20.58501,3.242954,0.0,127.71872
3.25,2.33,0.282,0.07,0.0,0.0,3.18,0.0,20,0.0,19.1,0.0,1,0,7,0,M,94.95399,0.00138,0.00044,100.0,0.000289,0.0,91.81133,0,9,0,58,0,98,0,100,,2.2e-05,3.903685,23.424456,0.00138,0.00044,0.0,2.303931,0.210574,131.40635
2.85,2.56,0.02,0.0,0.0,1.36,7.2,0.0,6,0.0,48.4,0.5,0,0,6,0,AF,0.004045,0.00138,95.98867,3.20678,4.444718,0.0,60.17629,6,0,0,7,83,6,0,115,,0.276116,2.2e-05,0.004045,9.88548,3.32049,2.40314,98.07675,0.0,105.51514
3.3,2.31,0.378,0.0,0.0,0.0,20.08,1.55,9,0.0,22.3,0.0,23,17,0,0,M,18.932033,12.269585,0.00044,100.0,4.01402,0.0,83.67814,0,88,0,7,21,0,0,118,,2.2e-05,2.2e-05,20.834055,2.309379,6.06809,17.82484,0.000289,0.0,124.92418
2.93,2.34,0.371,0.0,0.002,0.13,0.0,0.0,12,12.9,17.3,1.0,6,0,2,0,FP,94.95399,7.945482,2.795661,0.0,0.000289,0.001808,134.97759,0,0,0,99,0,82,0,120,,1.324664,5.678013,22.675386,1.532798,4.80718,0.0,5.11563,0.126573,86.90513
2.93,2.32,0.129,0.14,0.0,0.0,21.04,0.0,4,21.6,0.0,0.0,7,2,6,0,AN,0.004045,9.656656,5.781739,100.0,4.500309,0.113268,133.92905,0,23,0,2,97,98,0,100,,0.942875,1.617337,7.057878,1.315949,0.06618,0.0,4.557974,0.214717,136.76043
2.98,2.42,0.353,0.0,0.0,0.0,20.46,0.0,9,0.0,18.2,0.0,2,4,0,0,AN,11.270509,57.12141,6.586741,0.0,3.533619,0.0,68.0017,0,14,0,7,71,0,0,100,,2.2e-05,0.831397,13.604504,0.00138,0.00044,15.81163,5.919148,0.083429,132.39761
3.46,2.28,0.02,0.0,0.0,0.0,0.0,0.03,3,6.0,0.0,0.0,0,12,6,0,AN,0.300148,4.485466,6.52134,0.0,0.000289,0.054351,87.57701,9,0,0,99,8,0,0,100,,2.2e-05,3.483365,0.004045,4.700933,0.00044,9.49834,0.000289,0.220703,120.35039
3.79,2.44,0.266,0.91,0.0,0.18,14.36,0.0,3,5.3,11.6,0.0,3,86,69,0,AN,0.217359,40.696708,0.00044,0.0,2.616705,0.0,79.49105,0,0,8,85,97,98,0,100,,2.2e-05,7.171767,17.712266,0.00138,44.355865,8.46669,98.07675,0.0158,92.25827
2.73,2.61,0.035,0.0,0.0,0.0,1.83,0.0,10,70.0,71.1,8.2,0,100,5,0,M,94.95399,3.328643,0.00044,71.26975,0.700938,0.110211,125.57834,0,3,2,0,0,5,0,100,,25.612657,2.2e-05,0.004045,5.666975,0.00044,9.94383,1.112158,0.0,80.02297
3.06,2.24,0.406,0.0,0.121,0.11,3.21,0.0,14,0.0,0.0,9.8,96,9,0,0,AN,12.82004,57.12141,0.00044,99.91507,0.000289,0.0,94.30034,0,6,8,0,0,6,0,100,,34.314438,2.2e-05,16.962099,0.00138,0.00044,6.6379,4.326645,0.154895,137.8893
3.36,2.58,0.167,0.13,0.0,0.4,0.0,0.17,24,0.0,9.6,0.0,0,92,6,0,AF,7.042876,0.00138,6.92237,0.0,0.445313,0.190581,136.66057,9,15,0,99,0,76,0,109,,2.2e-05,6.165453,0.004045,9.095495,0.00044,100.0,0.785029,0.0,80.02297
3.46,2.3,0.234,0.0,0.006,0.0,0.0,0.0,24,5.7,21.4,0.0,4,1,3,0,FP,0.004045,8.088123,0.00044,100.0,66.639659,0.0,72.72329,10,70,2,0,97,1,0,100,,2.2e-05,3.883403,94.95399,11.32935,0.00044,0.0,1.566255,0.153445,107.12306
3.01,2.49,0.364,0.0,0.0,0.0,0.14,0.0,14,19.3,18.8,0.0,7,17,4,0,AN,94.95399,11.237308,7.314948,81.81863,0.000289,0.027778,49.8909,0,15,7,0,76,2,0,100,,2.2e-05,2.2e-05,94.95399,0.00138,0.00044,0.0,6.157029,0.167199,124.26109
3.04,2.46,0.243,0.0,0.006,2.79,0.0,0.0,9,0.0,0.0,0.0,0,69,2,0,AN,3.99153,0.00138,0.00044,100.0,4.569843,0.147038,92.32125,4,0,0,0,86,5,0,100,,2.2e-05,2.2e-05,0.004045,13.31471,10.999009,95.99604,0.000289,0.094663,115.19601
3.86,2.71,0.02,0.0,0.0,0.03,21.04,0.36,14,0.0,0.0,0.0,0,9,2,0,AN,0.004045,0.00138,6.622938,9.45293,0.000289,0.0,66.3615,0,2,1,5,0,4,0,101,,2.2e-05,2.672524,94.95399,0.00138,95.98867,100.0,98.07675,0.152812,96.67022
2.85,2.25,0.021,0.0,0.0,0.0,19.73,0.0,24,0.0,17.6,0.0,1,0,1,0,AF,0.004045,13.287175,5.559331,0.0,2.679354,0.0,77.93722,0,5,0,5,6,5,0,101,,2.2e-05,1.652548,94.95399,0.00138,6.785411,10.01742,5.208062,0.0,128.64721
3.26,2.66,0.02,0.0,0.0,0.14,0.0,0.99,11,6.3,99.0,6.5,0,0,7,0,AN,20.172623,0.00138,0.00044,0.0,0.000289,0.031138,129.3335,3,16,1,0,19,5,0,199,,2.029329,2.040368,24.784234,12.040974,0.00044,10.94181,0.016969,0.0,106.77303
3.02,2.73,0.136,0.0,0.0,0.22,0.0,0.0,12,0.0,99.0,0.0,0,0,0,0,AN,0.004045,7.996249,0.00044,1.67129,0.000289,0.0,104.17445,0,8,2,99,8,0,0,100,,0.252923,1.687062,94.95399,6.457687,0.00044,12.57692,5.925738,0.136821,134.8064
2.86,2.26,0.02,0.0,0.002,0.0,5.0,0.0,13,6.0,0.0,0.0,7,0,4,0,AN,20.7824,23.439831,6.874269,0.0,3.638592,0.0,140.48673,9,25,5,0,97,2,0,100,,2.2e-05,3.127216,25.650984,9.99601,1.258193,0.0,4.275776,0.161311,85.67986
4.04,2.21,0.175,0.0,0.0,0.0,2.72,0.0,9,5.4,26.8,0.2,0,3,0,0,M,16.877345,7.124152,2.147776,0.0,0.000289,0.0,130.70562,0,0,7,3,93,5,0,100,,2.2e-05,24.887948,22.865269,0.00138,54.752911,0.0,2.850209,0.0,111.33311
3.11,2.71,0.247,0.03,0.001,0.0,0.0,0.0,10,2.6,0.0,27.5,0,100,5,0,M,3.242961,3.943431,95.98867,0.0,0.000289,0.038504,104.11883,1,82,0,3,14,5,0,100,,3.040357,2.2e-05,21.227673,0.81648,2.531048,0.0,0.000289,0.0,108.13625
3.86,2.29,0.15,0.0,0.0,0.0,0.09,0.0,11,4.5,94.0,0.0,24,69,4,0,AF,94.95399,34.336627,5.104952,0.0,4.818889,0.0,91.44467,0,0,1,36,10,0,0,100,,2.2e-05,62.46501,0.004045,0.00138,0.687637,88.51119,6.032576,0.154606,115.37184
3.56,2.36,0.215,0.0,0.001,0.0,1.59,0.25,11,6.6,99.0,4.0,6,0,0,0,AN,9.201807,12.198964,0.90413,70.47601,0.000289,0.0,80.99507,5,0,0,0,0,0,0,100,,9.810589,0.955052,0.004045,0.00138,2.668124,0.0,5.544166,0.0,107.33269
3.58,2.5,0.195,0.0,0.0,0.24,21.04,0.35,17,0.3,24.2,0.0,0,65,77,0,AN,9.603486,9.92009,1.234509,1.42636,0.000289,0.06493,131.46714,5,0,0,75,9,6,0,101,,2.2e-05,2.2e-05,25.857445,1.83556,5.182189,11.57629,5.912174,0.0,110.32247
3.5,2.44,0.224,0.0,0.0,0.23,0.0,0.0,19,0.0,16.4,5.7,96,92,70,0,M,0.004045,12.374618,7.24515,100.0,0.000289,0.0,108.81864,0,0,8,99,68,0,0,204,,2.2e-05,0.541821,18.038967,0.834246,95.98867,88.57951,0.000289,0.0,135.77888
3.42,2.4,0.191,0.07,0.005,0.0,21.04,0.13,4,0.0,23.0,0.5,0,20,4,0,AN,0.004045,0.00138,0.00044,100.0,2.869545,0.0,94.22088,39,15,0,0,97,5,0,100,,2.2e-05,2.2e-05,94.95399,0.00138,24.924916,0.0,1.472007,0.0,92.49261
3.19,2.28,0.19,0.07,0.0,0.0,9.24,0.82,9,0.0,0.0,0.0,0,0,5,0,M,6.417476,0.00138,7.447818,0.0,2.019438,0.0,66.44221,0,0,0,4,15,5,0,109,,0.080913,4.697461,19.369216,0.00138,7.647413,13.00332,0.000289,0.07415,95.60106
4.17,2.3,0.339,0.0,0.0,0.0,5.77,0.0,3,4.3,2.4,3.7,5,2,3,0,AN,75.126278,0.00138,95.98867,72.13024,98.07675,0.0,80.28322,0,10,0,23,97,0,0,103,,2.2e-05,62.46501,94.95399,2.979897,7.578125,100.0,98.07675,0.0,80.02297
2.92,2.46,0.435,0.33,0.007,0.0,0.0,0.0,23,24.9,23.1,4.4,6,15,51,0,FP,80.913814,6.074972,1.690836,3.8601,0.000289,0.0,45.10605,0,0,0,2,58,0,3,120,,6.669148,2.881685,21.025805,4.666652,47.736765,0.0,0.000289,0.143423,132.28607
3.36,2.25,0.26,0.0,0.0,0.0,0.0,0.0,6,0.0,5.3,0.0,2,9,7,0,M,7.096391,11.473139,5.268072,22.27617,0.000289,0.113315,35.60635,0,0,0,99,8,0,0,140,,1.227494,4.511396,0.004045,0.00138,4.828059,100.0,51.90317,0.209885,89.86616
4.0,2.34,0.369,0.0,0.0,0.3,11.11,0.33,3,0.0,21.9,0.0,2,100,0,0,AN,0.004045,57.12141,2.270862,0.0,1.889685,0.0,70.62888,0,60,0,99,76,0,0,108,,2.2e-05,6.154132,5.591299,6.70925,0.00044,72.06221,98.07675,0.143491,92.39902
3.07,2.31,0.39,0.06,0.0,0.41,1.43,0.0,8,0.0,7.4,0.0,0,6,6,0,FP,83.975482,57.12141,0.00044,15.2164,0.000289,0.215226,133.41452,10,15,0,0,0,4,0,100,,6.174542,2.2e-05,18.169818,3.100484,3.287162,100.0,0.000289,0.07575,107.71711
2.91,2.67,0.175,0.0,0.0,0.03,0.73,1.33,22,0.0,24.6,26.4,6,100,1,0,AN,94.95399,5.605706,0.00044,79.865,0.000289,0.112044,53.78145,3,16,11,0,97,98,0,100,,10.439073,2.2e-05,0.004045,1.843604,0.00044,0.0,5.319448,0.0,82.7989
2.84,2.28,0.33,0.09,0.0,0.0,0.0,0.0,20,0.0,80.8,4.0,3,75,5,0,AN,89.619639,8.516471,0.00044,18.75715,0.000289,0.0,110.89293,0,0,1,0,5,0,0,102,,2.2e-05,4.66393,13.683707,0.00138,0.00044,68.34731,0.428714,0.123236,99.49424
3.86,2.08,0.349,0.0,0.0,0.05,21.0,1.26,4,0.4,22.0,0.0,0,0,4,0,M,0.004045,0.00138,6.714953,0.0,0.000289,0.16312,82.52124,9,0,0,99,5,1,0,145,,2.2e-05,31.910412,0.004045,1.413143,65.46378,14.94495,2.364132,0.0,91.88836
3.61,2.25,0.338,0.0,0.001,0.0,0.0,0.01,3,1.7,99.0,8.7,3,0,0,0,AN,0.004045,11.262246,6.683362,3.56205,0.000289,0.0,90.36314,0,0,0,5,71,98,0,100,,2.2e-05,3.76597,94.95399,0.00138,7.389349,85.11404,3.950155,0.0,121.54241
2.82,2.35,0.205,0.0,0.0,0.0,0.14,0.0,15,4.6,20.0,17.3,8,17,100,0,AF,18.87537,13.429189,0.00044,90.09584,2.548172,0.128751,82.5374,0,10,0,0,79,1,0,100,,2.2e-05,2.2e-05,20.436645,7.819619,0.00044,0.0,0.807059,0.119349,132.64416
3.71,2.73,0.02,0.0,0.0,0.4,0.0,0.0,24,0.0,0.0,6.9,33,4,78,0,AN,3.486801,10.850679,3.536803,0.0,0.000289,0.111015,35.60635,0,19,1,0,10,0,0,100,,5.700809,2.2e-05,6.735187,0.00138,0.00044,84.28557,0.000289,0.0,101.42778
3.48,2.73,0.171,0.0,0.0,0.0,8.53,0.0,10,0.0,0.0,0.0,4,4,0,0,FP,79.703553,0.00138,2.708791,9.08014,0.000289,0.0,105.61525,0,18,0,35,5,0,0,100,,2.2e-05,2.2e-05,94.95399,0.00138,6.289679,15.07952,2.908955,0.12675,117.92015
3.01,2.34,0.168,0.0,0.0,0.03,0.03,0.0,11,1.9,85.1,0.0,6,0,0,0,M,19.026585,9.433271,5.943747,0.75177,0.000289,0.0,54.50952,0,6,0,5,19,45,0,106,,2.2e-05,3.998504,58.173735,8.266971,95.98867,0.0,3.445407,0.0,103.37181
3.83,2.62,0.303,2.81,0.002,0.46,0.0,0.39,5,0.0,23.8,5.4,0,0,7,0,M,94.95399,0.00138,0.00044,92.38349,98.07675,0.011715,80.81006,0,0,0,6,97,0,0,100,,2.2e-05,6.532473,3.321388,57.12141,0.00044,0.0,0.000289,0.050436,80.02297
4.14,2.29,0.437,0.0,0.0,0.0,6.61,0.0,10,32.5,0.0,60.0,0,0,4,0,AN,12.492478,11.141979,0.00044,81.40653,43.753818,0.0,119.3625,0,67,0,52,97,0,0,185,,39.228514,21.299306,71.435417,0.00138,0.00044,100.0,0.000289,0.0,106.55349
3.47,2.36,0.206,0.0,0.0,0.0,0.0,2.44,22,0.0,76.2,60.0,3,100,6,0,AN,22.71557,6.127581,0.00044,84.40804,32.342506,0.0,72.29693,0,87,1,4,0,0,0,100,,43.888825,2.2e-05,16.275554,10.348651,87.231968,10.04601,93.800895,0.014022,116.09288
3.26,2.73,0.272,0.05,0.005,0.0,0.0,0.44,24,31.6,28.2,4.0,0,15,6,0,M,10.38998,0.00138,2.530146,11.82319,0.000289,0.0,78.63502,1,7,0,8,82,0,0,100,,2.2e-05,6.948065,15.071484,8.957808,4.150959,0.0,0.000289,0.133823,80.02297
3.06,2.22,0.331,0.0,0.002,0.0,7.25,0.0,5,0.0,21.2,5.4,34,0,3,0,M,15.078203,9.18383,0.00044,100.0,1.418306,0.0,76.03667,0,14,8,94,97,2,0,100,,2.2e-05,2.2e-05,42.605391,11.243563,5.861995,0.0,0.000289,0.017454,92.78525
3.71,2.63,0.392,0.0,0.004,0.31,0.12,0.0,6,0.0,27.4,0.0,0,100,0,0,AF,31.425739,0.00138,7.933155,0.0,0.000289,0.138545,134.8808,0,0,0,99,0,3,0,107,,0.875322,6.711498,6.610807,0.00138,3.533959,7.03503,3.538912,0.0,80.02297
2.99,2.42,0.154,0.0,0.0,0.32,21.04,0.0,16,0.0,99.0,0.0,8,100,0,0,AF,0.004045,12.789499,0.82265,100.0,0.000289,0.0,94.27293,6,0,6,2,0,0,0,100,,2.2e-05,2.2e-05,15.198114,0.00138,7.006876,0.0,4.353535,0.0,93.67045
3.1,2.68,0.332,0.04,0.001,0.25,0.0,0.0,3,0.0,99.0,22.1,0,3,7,0,FP,84.024637,0.00138,0.00044,0.0,0.000289,0.210768,90.34045,4,0,6,99,0,6,0,132,,35.277879,1.418173,5.5811,3.605406,1.633462,0.0,0.000289,0.0,107.29556
3.08,2.62,0.111,0.12,0.0,0.06,0.0,1.62,16,34.3,16.1,0.0,0,0,1,0,FP,94.95399,0.00138,6.761001,0.0,0.000289,0.022309,121.18118,1,9,8,99,0,98,0,100,,2.2e-05,2.07448,0.004045,4.689144,0.00044,0.0,0.000289,0.008291,80.02297
3.06,2.58,0.35,0.1,0.0,0.03,0.0,0.98,3,24.4,0.0,0.0,3,20,7,0,AN,94.95399,10.019001,0.00044,100.0,0.000289,0.009409,115.69686,8,13,4,39,0,0,0,100,,2.2e-05,2.2e-05,16.563395,11.296402,0.00044,0.57018,0.000289,0.211434,94.94263
3.74,2.39,0.022,0.07,0.0,0.39,0.0,0.0,24,14.9,0.0,13.3,4,19,35,0,M,64.483694,0.379954,6.682794,6.3367,0.000289,0.2069,116.78937,0,84,0,1,54,0,0,100,,3.656816,3.501356,15.807842,9.912176,95.98867,76.47998,98.07675,0.17243,80.02297
3.64,2.72,0.243,0.0,0.001,0.0,0.44,0.0,24,4.9,21.4,0.0,0,0,6,0,FP,94.95399,4.082187,0.00044,100.0,0.000289,0.0,121.27124,7,56,6,49,22,98,0,100,,2.2e-05,2.2e-05,94.95399,5.465501,4.76528,0.0,4.075593,0.02948,133.85963
2.81,2.65,0.282,0.0,0.006,0.0,14.52,0.0,23,6.3,25.5,0.0,0,0,49,0,AN,0.004045,11.411319,5.150785,0.0,4.578877,0.0,95.57004,12,0,3,99,97,98,0,100,,2.2e-05,2.2e-05,1.767558,0.00138,0.00044,0.0,0.000289,0.0,130.1722
3.91,2.48,0.322,0.03,0.0,0.0,1.4,0.73,14,1.9,19.4,32.9,5,0,100,0,AN,94.95399,0.00138,0.00044,0.0,3.467676,0.0,101.14041,5,0,0,7,81,98,0,100,,2.2e-05,62.46501,51.882349,0.00138,0.00044,0.0,5.316401,0.026051,82.53078
3.58,2.28,0.03,0.14,0.0,0.0,0.0,0.21,24,0.0,0.0,8.2,0,0,1,0,AN,0.004045,0.00138,0.00044,21.07299,1.690843,0.0,85.5512,0,0,0,43,13,6,0,100,,2.2e-05,5.992435,42.507304,0.00138,0.00044,12.32892,5.801963,0.076997,80.02297
2.94,2.43,0.343,2.81,0.0,0.31,0.0,0.0,8,0.3,0.0,0.0,0,49,0,0,AN,0.004045,0.00138,4.392608,9.05612,0.000289,0.074263,149.23499,8,23,0,0,0,88,0,100,,4.41437,30.278328,16.728804,11.295625,5.717763,0.0,3.631114,0.165316,93.7111
3.31,2.4,0.02,0.0,0.001,0.0,8.65,0.0,9,4.9,0.0,0.1,0,80,6,0,M,12.264197,0.00138,7.036875,0.0,5.361307,0.115219,101.026,9,2,0,0,97,5,0,100,,2.2e-05,3.869784,0.004045,10.499612,1.321575,100.0,2.719576,0.020332,80.02297
3.9,2.31,0.02,0.0,0.0,0.0,0.94,0.0,24,0.0,0.0,6.0,6,16,0,0,AN,14.093523,1.700176,0.047504,100.0,1.89318,0.0,89.1233,2,14,0,44,22,38,0,100,,2.2e-05,1.799977,18.191369,9.421356,19.438187,0.93844,98.07675,0.164987,80.02297
3.82,2.73,0.145,0.0,0.005,0.16,0.0,2.18,3,5.7,25.7,7.7,1,20,1,0,AN,10.231214,12.630233,7.555107,0.0,0.000289,0.076914,83.71785,0,0,0,8,68,0,0,130,,2.2e-05,4.11809,23.378451,11.509279,95.98867,2.54664,0.000289,0.0,80.02297
3.68,2.6,0.267,0.0,0.0,0.0,2.57,0.0,3,28.8,26.6,0.0,1,0,2,0,AN,94.95399,5.16401,0.00044,24.10325,0.000289,0.0,80.03591,10,100,2,74,89,80,0,100,,2.2e-05,4.973038,0.004045,3.00275,0.00044,8.11244,6.15386,0.004709,99.66162
3.17,2.08,0.158,0.01,0.002,0.0,21.04,0.29,9,0.0,0.0,0.0,2,9,0,0,FP,0.004045,4.706273,3.904115,16.61737,98.07675,0.0,72.35024,0,63,10,4,1,0,0,100,,2.2e-05,2.2e-05,43.174326,24.360932,7.207073,6.9996,0.000289,0.0,93.34941
