C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt.1,perlit.1,węgliki.1,martenzyt.1,ausferryt.1,austenit.1,Wolna miedź.1,kontrolka,Unnamed: 33,ferryt.2,perlit.2,węgliki.2,martenzyt.2,ausferryt.2,austenit.2,Wolna miedź.2,Unnamed: 41
2.76,2.38,0.344,0.16,0.0,0.41,5.41,0.0,3,3.9,0.0,3.8,4,100,0,0,FP,2.2e-05,0.004045,0.00138,6.45741,0.0,0.000289,0.287099,122.12286,37,0,10,0,0,0,0,100,,3.626835,63.597817,0.00138,0.00044,100.0,2.999875,0.0,80.02297
3.92,2.29,0.063,0.02,0.004,0.0,5.99,1.95,8,70.0,17.7,60.0,5,100,3,0,AN,2.2e-05,0.004045,11.687564,0.00044,0.0,0.86565,0.0,96.20409,1,0,0,96,0,5,0,100,,1.062977,28.218866,0.229924,44.829829,0.0,2.854823,0.0,83.49283
2.73,2.34,0.063,0.09,0.003,0.59,16.81,0.11,14,6.5,5.2,0.0,0,17,2,0,FP,3.890908,0.004045,1.842201,0.00044,100.0,98.07675,0.0,105.9448,6,0,9,6,0,6,0,100,,2.2e-05,94.95399,12.758287,0.754938,3.55582,0.000289,0.0,122.82513
3.3,2.21,0.38,0.1,0.0,2.68,21.04,0.0,3,30.2,11.0,0.0,4,9,6,0,M,20.76559,12.555379,1.82705,0.00044,14.46531,4.588845,0.196868,105.46295,1,32,40,0,81,0,0,100,,0.142885,65.07146,0.00138,0.468806,100.0,0.000289,0.0,97.38023
2.73,2.53,0.194,0.0,0.007,1.4,1.06,0.0,5,7.0,0.0,36.4,4,71,0,0,M,50.779138,0.004045,0.00138,6.335033,22.26872,0.515221,0.0,81.19587,62,0,9,0,67,5,0,100,,4.204278,17.565103,0.208528,0.00044,3.23363,0.000289,0.0,128.84416
3.75,2.23,0.356,0.13,0.0,1.89,0.66,0.82,9,19.2,3.9,5.6,96,100,3,0,M,2.2e-05,0.004045,7.232502,0.00044,0.0,0.000289,0.0,82.84883,0,8,0,99,2,5,0,100,,0.652112,94.95399,8.311886,0.00044,100.0,0.000289,0.0,81.02377
3.64,2.49,0.132,0.0,0.001,0.06,19.5,2.44,4,13.7,22.9,7.5,0,15,7,0,AN,5.244389,1.135034,0.00138,5.607859,77.04442,0.000289,0.0,116.47365,6,0,5,0,16,0,0,100,,2.2e-05,57.672742,11.148661,0.00044,100.0,51.513671,0.0,82.57266
3.69,2.26,0.02,0.09,0.0,0.0,21.04,1.04,6,23.6,0.0,0.0,0,86,24,0,M,62.46501,27.407124,0.00138,0.00044,97.58859,3.297386,0.0,103.88002,3,72,5,0,18,0,0,100,,4.112691,22.285367,0.00138,0.00044,88.19533,23.155888,0.016408,105.43801
3.52,2.62,0.144,0.0,0.0,2.52,4.88,0.0,20,25.7,19.1,0.0,0,100,1,0,AN,2.2e-05,19.67996,5.577049,2.522583,0.0,5.541148,0.091297,80.88677,0,0,3,6,0,0,0,100,,2.2e-05,70.027947,7.669081,66.684881,100.0,0.000289,0.0,124.91989
3.13,2.22,0.44,1.23,0.002,0.0,0.5,0.36,12,0.0,50.4,60.0,0,46,2,0,AN,2.2e-05,0.004045,56.901258,0.478116,100.0,1.729766,0.0,92.61453,26,20,11,35,0,0,0,100,,2.2e-05,94.95399,6.713272,0.00044,100.0,0.000289,0.0,153.7299
3.09,2.33,0.198,0.0,0.0,0.0,1.43,0.0,3,2.5,99.0,9.1,59,3,2,0,AN,2.2e-05,0.004045,11.173938,0.00044,0.0,5.572234,0.0,80.02297,5,16,10,0,0,5,0,100,,2.2e-05,66.64847,0.00138,0.00044,83.71678,98.07675,0.130187,110.65214
2.73,2.52,0.141,0.1,0.0,1.9,0.16,0.0,14,1.1,0.0,39.6,0,52,5,0,FP,2.2e-05,0.004045,10.715976,26.391609,19.51807,98.07675,0.0,81.11779,5,80,2,99,0,0,0,100,,2.406253,52.216221,10.641778,0.00044,17.18117,98.07675,0.0,123.95639
3.74,2.45,0.435,0.11,0.0,0.07,0.0,0.0,21,48.2,16.6,0.0,4,61,1,0,M,3.172809,3.497917,0.821947,0.00044,0.0,0.000289,0.188553,80.02297,6,0,0,7,0,0,0,100,,2.2e-05,18.348183,31.134208,3.45499,16.89631,5.401329,0.201648,97.9305
3.8,2.54,0.18,0.0,0.006,0.47,0.0,0.39,3,4.2,47.3,28.8,0,20,2,0,M,3.83747,11.818846,5.865203,46.8939,15.10972,98.07675,0.154097,81.84917,38,54,0,0,97,1,0,100,,2.253548,4.480088,0.00138,4.763922,100.0,49.6563,0.038052,129.81048
4.0,2.57,0.02,0.0,0.0,0.0,0.79,0.03,10,66.0,9.4,10.4,0,21,0,0,M,2.2e-05,5.800369,0.00138,0.00044,0.0,0.000289,0.0,80.02297,0,0,0,4,17,4,0,100,,2.2e-05,4.353933,13.192412,0.00044,0.0,2.986906,0.170756,133.42199
2.73,2.23,0.02,0.15,0.003,0.0,21.04,2.44,8,7.2,0.0,34.3,1,16,43,0,AN,53.193671,24.186941,0.00138,95.98867,23.67094,51.960498,0.0,117.17835,6,0,7,0,78,3,0,100,,2.2e-05,94.95399,31.098097,95.98867,96.53375,0.000289,0.08439,153.4582
